0,0,0
1,1,0
2,1,1
3,0,1
4,0,2
5,0,3
6,1,3
7,1,2
8,2,2
9,2,3
10,3,3
11,3,2
12,3,1
13,2,1
14,2,0
15,3,0
16,4,0
17,4,1
18,5,1
19,5,0
20,6,0
21,7,0
22,7,1
23,6,1
24,6,2
25,7,2
26,7,3
27,6,3
28,5,3
29,5,2
30,4,2
31,4,3
32,4,4
33,4,5
34,5,5
35,5,4
36,6,4
37,7,4
38,7,5
39,6,5
40,6,6
41,7,6
42,7,7
43,6,7
44,5,7
45,5,6
46,4,6
47,4,7
48,3,7
49,2,7
50,2,6
51,3,6
52,3,5
53,3,4
54,2,4
55,2,5
56,1,5
57,1,4
58,0,4
59,0,5
60,0,6
61,1,6
62,1,7
63,0,7
64,0,8
65,0,9
66,1,9
67,1,8
68,2,8
69,3,8
70,3,9
71,2,9
72,2,10
73,3,10
74,3,11
75,2,11
76,1,11
77,1,10
78,0,10
79,0,11
80,0,12
81,1,12
82,1,13
83,0,13
84,0,14
85,0,15
86,1,15
87,1,14
88,2,14
89,2,15
90,3,15
91,3,14
92,3,13
93,2,13
94,2,12
95,3,12
96,4,12
97,5,12
98,5,13
99,4,13
100,4,14
101,4,15
102,5,15
103,5,14
104,6,14
105,6,15
106,7,15
107,7,14
108,7,13
109,6,13
110,6,12
111,7,12
112,7,11
113,7,10
114,6,10
115,6,11
116,5,11
117,4,11
118,4,10
119,5,10
120,5,9
121,4,9
122,4,8
123,5,8
124,6,8
125,6,9
126,7,9
127,7,8
128,8,8
129,8,9
130,9,9
131,9,8
132,10,8
133,11,8
134,11,9
135,10,9
136,10,10
137,11,10
138,11,11
139,10,11
140,9,11
141,9,10
142,8,10
143,8,11
144,8,12
145,9,12
146,9,13
147,8,13
148,8,14
149,8,15
150,9,15
151,9,14
152,10,14
153,10,15
154,11,15
155,11,14
156,11,13
157,10,13
158,10,12
159,11,12
160,12,12
161,13,12
162,13,13
163,12,13
164,12,14
165,12,15
166,13,15
167,13,14
168,14,14
169,14,15
170,15,15
171,15,14
172,15,13
173,14,13
174,14,12
175,15,12
176,15,11
177,15,10
178,14,10
179,14,11
180,13,11
181,12,11
182,12,10
183,13,10
184,13,9
185,12,9
186,12,8
187,13,8
188,14,8
189,14,9
190,15,9
191,15,8
192,15,7
193,14,7
194,14,6
195,15,6
196,15,5
197,15,4
198,14,4
199,14,5
200,13,5
201,13,4
202,12,4
203,12,5
204,12,6
205,13,6
206,13,7
207,12,7
208,11,7
209,11,6
210,10,6
211,10,7
212,9,7
213,8,7
214,8,6
215,9,6
216,9,5
217,8,5
218,8,4
219,9,4
220,10,4
221,10,5
222,11,5
223,11,4
224,11,3
225,11,2
226,10,2
227,10,3
228,9,3
229,8,3
230,8,2
231,9,2
232,9,1
233,8,1
234,8,0
235,9,0
236,10,0
237,10,1
238,11,1
239,11,0
240,12,0
241,13,0
242,13,1
243,12,1
244,12,2
245,12,3
246,13,3
247,13,2
248,14,2
249,14,3
250,15,3
251,15,2
252,15,1
253,14,1
254,14,0
255,15,0
256,16,0
257,16,1
258,17,1
259,17,0
260,18,0
261,19,0
262,19,1
263,18,1
264,18,2
265,19,2
266,19,3
267,18,3
268,17,3
269,17,2
270,16,2
271,16,3
272,16,4
273,17,4
274,17,5
275,16,5
276,16,6
277,16,7
278,17,7
279,17,6
280,18,6
281,18,7
282,19,7
283,19,6
284,19,5
285,18,5
286,18,4
287,19,4
288,20,4
289,21,4
290,21,5
291,20,5
292,20,6
293,20,7
294,21,7
295,21,6
296,22,6
297,22,7
298,23,7
299,23,6
300,23,5
301,22,5
302,22,4
303,23,4
304,23,3
305,23,2
306,22,2
307,22,3
308,21,3
309,20,3
310,20,2
311,21,2
312,21,1
313,20,1
314,20,0
315,21,0
316,22,0
317,22,1
318,23,1
319,23,0
320,24,0
321,25,0
322,25,1
323,24,1
324,24,2
325,24,3
326,25,3
327,25,2
328,26,2
329,26,3
330,27,3
331,27,2
332,27,1
333,26,1
334,26,0
335,27,0
336,28,0
337,28,1
338,29,1
339,29,0
340,30,0
341,31,0
342,31,1
343,30,1
344,30,2
345,31,2
346,31,3
347,30,3
348,29,3
349,29,2
350,28,2
351,28,3
352,28,4
353,28,5
354,29,5
355,29,4
356,30,4
357,31,4
358,31,5
359,30,5
360,30,6
361,31,6
362,31,7
363,30,7
364,29,7
365,29,6
366,28,6
367,28,7
368,27,7
369,26,7
370,26,6
371,27,6
372,27,5
373,27,4
374,26,4
375,26,5
376,25,5
377,25,4
378,24,4
379,24,5
380,24,6
381,25,6
382,25,7
383,24,7
384,24,8
385,25,8
386,25,9
387,24,9
388,24,10
389,24,11
390,25,11
391,25,10
392,26,10
393,26,11
394,27,11
395,27,10
396,27,9
397,26,9
398,26,8
399,27,8
400,28,8
401,28,9
402,29,9
403,29,8
404,30,8
405,31,8
406,31,9
407,30,9
408,30,10
409,31,10
410,31,11
411,30,11
412,29,11
413,29,10
414,28,10
415,28,11
416,28,12
417,28,13
418,29,13
419,29,12
420,30,12
421,31,12
422,31,13
423,30,13
424,30,14
425,31,14
426,31,15
427,30,15
428,29,15
429,29,14
430,28,14
431,28,15
432,27,15
433,26,15
434,26,14
435,27,14
436,27,13
437,27,12
438,26,12
439,26,13
440,25,13
441,25,12
442,24,12
443,24,13
444,24,14
445,25,14
446,25,15
447,24,15
448,23,15
449,23,14
450,22,14
451,22,15
452,21,15
453,20,15
454,20,14
455,21,14
456,21,13
457,20,13
458,20,12
459,21,12
460,22,12
461,22,13
462,23,13
463,23,12
464,23,11
465,22,11
466,22,10
467,23,10
468,23,9
469,23,8
470,22,8
471,22,9
472,21,9
473,21,8
474,20,8
475,20,9
476,20,10
477,21,10
478,21,11
479,20,11
480,19,11
481,18,11
482,18,10
483,19,10
484,19,9
485,19,8
486,18,8
487,18,9
488,17,9
489,17,8
490,16,8
491,16,9
492,16,10
493,17,10
494,17,11
495,16,11
496,16,12
497,16,13
498,17,13
499,17,12
500,18,12
501,19,12
502,19,13
503,18,13
504,18,14
505,19,14
506,19,15
507,18,15
508,17,15
509,17,14
510,16,14
511,16,15
512,16,16
513,16,17
514,17,17
515,17,16
516,18,16
517,19,16
518,19,17
519,18,17
520,18,18
521,19,18
522,19,19
523,18,19
524,17,19
525,17,18
526,16,18
527,16,19
528,16,20
529,17,20
530,17,21
531,16,21
532,16,22
533,16,23
534,17,23
535,17,22
536,18,22
537,18,23
538,19,23
539,19,22
540,19,21
541,18,21
542,18,20
543,19,20
544,20,20
545,21,20
546,21,21
547,20,21
548,20,22
549,20,23
550,21,23
551,21,22
552,22,22
553,22,23
554,23,23
555,23,22
556,23,21
557,22,21
558,22,20
559,23,20
560,23,19
561,23,18
562,22,18
563,22,19
564,21,19
565,20,19
566,20,18
567,21,18
568,21,17
569,20,17
570,20,16
571,21,16
572,22,16
573,22,17
574,23,17
575,23,16
576,24,16
577,25,16
578,25,17
579,24,17
580,24,18
581,24,19
582,25,19
583,25,18
584,26,18
585,26,19
586,27,19
587,27,18
588,27,17
589,26,17
590,26,16
591,27,16
592,28,16
593,28,17
594,29,17
595,29,16
596,30,16
597,31,16
598,31,17
599,30,17
600,30,18
601,31,18
602,31,19
603,30,19
604,29,19
605,29,18
606,28,18
607,28,19
608,28,20
609,28,21
610,29,21
611,29,20
612,30,20
613,31,20
614,31,21
615,30,21
616,30,22
617,31,22
618,31,23
619,30,23
620,29,23
621,29,22
622,28,22
623,28,23
624,27,23
625,26,23
626,26,22
627,27,22
628,27,21
629,27,20
630,26,20
631,26,21
632,25,21
633,25,20
634,24,20
635,24,21
636,24,22
637,25,22
638,25,23
639,24,23
640,24,24
